naslov,avtor,tip_oddaje,datum
Med knjigo in umetniškim objektom,Kara Marušič,Art-area,3. 6. 2024 – 23.00
Subjekt je bog. I batina,Matjaž Zorec,Literarni incest,3. 6. 2024 – 20.00
Rebusi družinskih vezi,Lucija Klauž,Kulturni obzornik,3. 6. 2024 – 13.15
Utelešenje neizrekljivega,Lea Sande,Stripofilija,2. 6. 2024 – 18.00
Porast transfobije v Sloveniji,Metod Zupan,Kulturni obzornik,1. 6. 2024 – 15.45
SHOW 1000: 1000 likes by Sarah Washington (mobile radio),Kulturno uredništvo,Radia Network,30. 5. 2024 – 22.30
Prva vaja iz kincugija,Nastja Virk,Striptiz,30. 5. 2024 – 13.45
Umrla,Brina Jerko,Kosilo nekega molja,30. 5. 2024 – 13.15
Ne spreglej,Brina Jerko,Kulturni obzornik,29. 5. 2024 – 13.15
Rože mi vse povedo,Mato Žgajner,Pritiskavec Gold,28. 5. 2024 – 21.00
Iniciacija,Samo Oleami,Teater v eter,28. 5. 2024 – 13.15
Natečaj za tipologije nadomestitvenih stanovanjskih stavb,Uroš Mikanović,Hertz arhitektur,27. 5. 2024 – 20.00
"Stolp, vodnjak in likovni jezik",Kara Marušič,Kulturni obzornik,27. 5. 2024 – 13.15
Asian fusion IV. – Lindsay Wong,Lara Pustinek Miočić,Tu pa tam,26. 5. 2024 – 18.00
Manifestacija novega,Marko Miočić,Kulturni obzornik,24. 5. 2024 – 13.15
SHOW 0999: RADIOACTIVE ~ ON WATER SERIES (RADIOART106),Kulturno uredništvo,Radia Network,23. 5. 2024 – 22.30
HAHAHAKONEC,Tia Rozman,Teater v eter,23. 5. 2024 – 13.45
Zmago Jeraj vs. liminalni prostori vs. film noir,Neža Vengust,Fine umetnosti,23. 5. 2024 – 13.15
Naj ta predstava čimprej zastara!,Nastja Virk,Kulturni obzornik,22. 5. 2024 – 13.15
That '70s show,Michael C. Jumic,Leteči pilot,21. 5. 2024 – 21.00
"Biti ali more-biti, je vprašanje",RKHV Vajenke,Humanistika,21. 5. 2024 – 13.45
"Objem, ki duši",Lea Sande,Humanistika,21. 5. 2024 – 13.15
WEEN,William Blomstedt,Tube(son),20. 5. 2024 – 23.00
Čustvo kot dokument,Vanja Gajić,Temna zvezda,20. 5. 2024 – 20.00
S te strani,Kulturno uredništvo,Repetitio,19. 5. 2024 – 20.00
Kritičarjenje,Samo Oleami,Ulična kritika,19. 5. 2024 – 18.00
Landlord anarhist,Laura Drašler,Kulturni obzornik,17. 5. 2024 – 13.15
SHOW 998 COMPOSITING FOR RADIO A WORKSHOP FROM (DIFFUSION FM),Kulturno uredništvo,Radia Network,16. 5. 2024 – 22.30
David McKerracher,Vid Salmič,Subjekt meseca,16. 5. 2024 – 13.15
"Vojna in mir, dekonstruirano",Tia Rozman,Kulturni obzornik,15. 5. 2024 – 13.15
"Puritanci, jebite se!",Matija Pohorec,Dlako z jezika,14. 5. 2024 – 13.15
shape(s)witch,Urška Savič,R A D A R,13. 5. 2024 – 23.00
Hendikepiran teater,Metod Zupan,Teritorij teatra,13. 5. 2024 – 20.00
Kaj se je/bo zgodilo 28. maja?,Kara Marušič,Kulturni obzornik,13. 5. 2024 – 13.15
Asian fusion III. – Jamie Chai Yun Liew,Lara Pustinek Miočić,Tu pa tam,12. 5. 2024 – 18.00
Kje vse puščamo sledi?,Lea Sande,Kulturni obzornik,10. 5. 2024 – 13.15
"SHOW 997: CONSTANT FREQUENCY: 89,3 MHZ (RADIO ŠTUDENT)",Kulturno uredništvo,Radia Network,9. 5. 2024 – 22.30
"O Bog, usmili se Evrope",Jakob Kos,Humanistika,9. 5. 2024 – 13.15
いつまでも若々しい,Michael C. Jumic,Leteči pilot,7. 5. 2024 – 20.53
Sveta pisma,Matjaž Zorec,Literarni incest,6. 5. 2024 – 20.00
"Svobodo na ulice, fašizem v parlament!",Laura Drašler,Kulturni obzornik,6. 5. 2024 – 13.15
"Neža o Črepinjah, Štef o Playboyu",Janez Grm,Stripofilija,5. 5. 2024 – 18.00
Zbudi me z Zlato Tifanijo,Matija Pohorec,Kulturni obzornik,3. 5. 2024 – 13.15
audio Show 996: Three Rules of Discipline and Eight Points for Attention by Hali Palombo for Wave Farm,Kulturno uredništvo,Radia Network,2. 5. 2024 – 22.30
AI GF,Lucija Ivanuša,Sektor Ž,2. 5. 2024 – 21.30
Hipnotičen ritem slovenstva v Mladincu,Nastja Virk,Teater v eter,2. 5. 2024 – 13.15
"Problem je, ko nimaš problema",Kaja Blazinšek,Kulturni obzornik,1. 5. 2024 – 13.15
Zliti se z meglo,Jakob Kos,Kosilo nekega molja,30. 4. 2024 – 13.45
"Ples je to, kar počnejo plesalci",Samo Oleami,Teater v eter,30. 4. 2024 – 13.15
Rahločutna razglabljanja,Marko Miočić,Uhljač,29. 4. 2024 – 23.00
Asian fusion II: Ann Yu-Kyung Choi,Lara Pustinek Miočić,Tu pa tam,28. 4. 2024 – 18.00
Kaj pomeni dan upora proti okupatorju,Matjaž Zorec,Odprti termin za kulturo,27. 4. 2024 – 18.00
Zakaj je Ljubljana tako...,Pavel Lipovšek,Urbi et orbi,27. 4. 2024 – 15.00
Nov razlog za nezadovoljstvo založnikov,Marko Miočić,Kulturni obzornik,26. 4. 2024 – 13.15
SHOW 995: STANDARD SONO MAGIQUE BY DÉSORCELER LA FINANCE (RADIO PANIK),Kulturno uredništvo,Radia Network,25. 4. 2024 – 22.30
Nahrbtnikarski hedonizem v Nikaragvi,Matija Pohorec,Pisma iz tujine,25. 4. 2024 – 13.45
"Berlin ni Berlin, Berlin je Beograd",Tina Tomšič,Pisma iz tujine,25. 4. 2024 – 13.15
Koliko bo stala kepica snega?,Lucija Klauž,Kulturni obzornik,24. 4. 2024 – 13.15
Blast from the past,Michael C. Jumic,Leteči pilot,23. 4. 2024 – 21.00
Sedmi poskus gotovosti,Maja Pongrac,Striptiz,23. 4. 2024 – 13.15
NYC sound snippets,Urška Škerl,Tipologije prostora,22. 4. 2024 – 20.00
Kurja polt: poslednji hura!,Oskar Ban Brejc,Kulturni obzornik,22. 4. 2024 – 13.15
Podtalje metafore,Marko Miočić,Teorema,21. 4. 2024 – 20.00
Zakaj je Ljubljana tako dolgočasna?,Vid Bešter,Objekt meseca,20. 4. 2024 – 23.00
SHOW 994: UNDERNEATH THE RUBBLE MY HAND BECAME A WILL (RADIOWORM),Kulturno uredništvo,Radia Network,18. 4. 2024 – 22.30
Happy end za slovensko uprizarjanje klasikov,Tia Rozman,Teater v eter,18. 4. 2024 – 13.45
Kako se guba segreta plastika,Kara Marušič,Fine umetnosti,18. 4. 2024 – 13.15
22. rdeča nit,Martin Pečan,Kulturni obzornik,17. 4. 2024 – 13.15
Stara gora daj povej,RKHV Vajenke,Humanistika,16. 4. 2024 – 13.45
Razšolati družbo,Marko Miočić,Humanistika,16. 4. 2024 – 13.15
SUMsumSUMMER,William Blomstedt,Tube(son),15. 4. 2024 – 23.00
"In kaj potem, če vem, da ti veš, da jaz vem, da me gledaš?",Lucija Klauž,Temna zvezda,15. 4. 2024 – 20.00
O mladi slovenski dramatiki,Nastja Virk,Kulturni obzornik,15. 4. 2024 – 13.15
Asian fusion I: Larissa Lai,Lara Pustinek Miočić,Tu pa tam,14. 4. 2024 – 18.00
Pozor! Ovira na cesti,Brina Jerko,Kulturni obzornik,12. 4. 2024 – 13.15
SHOW 993: ÍS (GLACE) JÖRÐ (TERRE) ELDI (FEU) VINDUR (VENT) BY BARYLIN TONE (JET FM),Kulturno uredništvo,Radia Network,11. 4. 2024 – 22.30
Kdo vleče niti,Martin Pečan,Teater v eter,11. 4. 2024 – 13.45
Iz telesa skozi čopič,Neža Urbiha,Fine umetnosti,11. 4. 2024 – 13.15
Ples digitalnih podob,Lea Sande,Kulturni obzornik,10. 4. 2024 – 13.15
Trash,Michael C. Jumic,Leteči pilot,9. 4. 2024 – 21.00
Valéry kot tak,Nastja Virk,Kosilo nekega molja,9. 4. 2024 – 13.45
"»Normalno ima svoje meje, nenormalno jih nima«",RKHV Vajenke,Kosilo nekega molja,9. 4. 2024 – 13.15
4 33,Urška Savič,R A D A R,8. 4. 2024 – 23.00
Kaj in zakaj Cité internationale des arts,Siri Savski,Kulturni obzornik,8. 4. 2024 – 13.15
Sokratov boj za Celjski strip sejem,Nik Rus,Stripofilija,7. 4. 2024 – 18.00
Revija vs. razstava e.g. ETC.,Kara Marušič,Kulturni obzornik,5. 4. 2024 – 13.15
"Show 992: Resonating Sculptures by Reni Hofmüller, Radio Helsinki (Graz)",Kulturno uredništvo,Radia Network,4. 4. 2024 – 22.30
Lahko pa samoupravljate s ponvami,Ana Koželnik,Sektor Ž,4. 4. 2024 – 21.30
Razpotopis,Leila Grbović,Kosilo nekega molja,4. 4. 2024 – 13.45
Toksično razočaranje v štajerski prestolnici,Matija Pohorec,Teater v eter,4. 4. 2024 – 13.15
Spuščanje v globine betona,Tia Rozman,Kulturni obzornik,3. 4. 2024 – 13.15
"Ta vlak, ki tiho pelje",Mato Žgajner,Pritiskavec Gold,2. 4. 2024 – 21.00
Tresk poka tudi od oka,Nejc Bahor,Fine umetnosti,2. 4. 2024 – 13.45
Zvok in podoba,Samo Oleami,Kinobar,2. 4. 2024 – 13.15
"Smrt, vstajenje in tako naprej. Ponavljanje",Matjaž Zorec,Literarni incest,1. 4. 2024 – 20.00
Intelektualne scene,Marko Miočić,Kulturni obzornik,1. 4. 2024 – 13.15
Jugoslovanski novinar kot subjekt,Marko Miočić,Subjekt meseca,31. 3. 2024 – 20.00
Erotika prihaja,Brina Jerko,Kulturni obzornik,29. 3. 2024 – 13.15
991: Verse & Chorus By Dominic J. Jaeckle & Nadia De Vries (Resonance),Kulturno uredništvo,Radia Network,28. 3. 2024 – 22.30
