naslov,avtor,tip_oddaje,datum
Zakaj je literatura pomembna,Martin Pečan,Teorema,23. 10. 2022 – 20.00
Strip fanzini od Latvije do Hrvaške,Pia Nikolič,Stripofilija,23. 10. 2022 – 18.00
V pričakovanju lokalnih volitev,Pavel Lipovšek,Urbi et orbi,22. 10. 2022 – 15.00
"Moje ulice, triindvajsetič: Mojmir Sepe",Anonymous,Špajza RŠ,22. 10. 2022 – 12.00
Slovo Stari robi,Valerija Intihar,Kulturni obzornik,21. 10. 2022 – 15.00
BLAŽEV ŽEGEN?,Anže Okorn,Kosilo nekega molja,21. 10. 2022 – 13.30
Show 916: Recalcitrant Electronics by Julien Mérieau (Jet fm),Kulturno uredništvo,Radia Network,20. 10. 2022 – 22.30
Kje bomo pa jutri spali?,Maja Pongrac,Kulturni obzornik,20. 10. 2022 – 15.10
Od smeha do solz,Metod Zupan,Teater v eter,20. 10. 2022 – 13.30
A Glitch in the KATASTER,Metod Zupan,Kulturni obzornik,19. 10. 2022 – 15.10
Problem ptičjih perspektiv,Jaka Bombac,Teater v eter,19. 10. 2022 – 13.30
WTF je JRPG,Mato Žgajner,Pritiskavec Gold,18. 10. 2022 – 21.00
Zapuščina pisca pustolovk,Minka Jerala,Kulturni obzornik,18. 10. 2022 – 15.10
Kdo ma posle čez?,Lara Pustinek Miočić,Kosilo nekega molja,18. 10. 2022 – 13.30
BLACK is BACK,William Blomstedt,Tube(son),17. 10. 2022 – 23.00
60. obletnica revije Ekran!,Lenart Sušnik,Temna zvezda,17. 10. 2022 – 20.00
V kakšnem peklu smo se znašli?,Tina Tomšič,Teater v eter,17. 10. 2022 – 13.30
SKOK V MLADE LEVE – DRUGIČ,Samo Oleami,Ulična kritika,16. 10. 2022 – 20.00
Sodobna južnoafriška proza II: Niq Mhlongo,Anja Zidar,Tu pa tam,16. 10. 2022 – 18.00
Oddaja o zborovski glasbi in glasovih na Radiu Študent #1,Anonymous,Špajza RŠ,16. 10. 2022 – 12.00
UMETNIŠKI DOPUST,Neža Urbiha,Kulturni obzornik,14. 10. 2022 – 15.10
Skrivnost opičje nostalgije,Tadej Pavković,Pritiskavec,14. 10. 2022 – 13.30
Show 915: Bob (Musk’s Mushrooms) by Thomas Antonic (Radio Helsinki),Kulturno uredništvo,Radia Network,13. 10. 2022 – 22.30
Kaj se je zgodilo z NUK kavarno?,Oskar Ban Brejc,Kulturni obzornik,13. 10. 2022 – 15.10
Skozi usta praznina,Maja Pongrac,Kosilo nekega molja,13. 10. 2022 – 13.30
Desolation center,Lenart Sušnik,Kinobar,13. 10. 2022 – 12.00
"Moje ulice, dvaindvajsetič: dr. Mario Pleničar",Anonymous,Špajza RŠ,12. 10. 2022 – 21.00
Ljubljana se letos klanja Pomurju,Neža Vengust,Kulturni obzornik,12. 10. 2022 – 15.10
Serijski morilci,Matjaž Zorec,Serijski motrilci,12. 10. 2022 – 13.30
Out of the shadows,Michael C. Jumic,Leteči pilot,11. 10. 2022 – 21.00
Brskanje po vzporednih resnicah,Valerija Intihar,Kulturni obzornik,11. 10. 2022 – 15.20
Ko pade mrak,Brina Jerko,Kosilo nekega molja,11. 10. 2022 – 13.30
Nek se čuje,Urška Savič,R A D A R,10. 10. 2022 – 23.00
Velika pričakovanja,Metod Zupan,Teritorij teatra,10. 10. 2022 – 20.00
Biti ali priti,Lara Pustinek Miočić,Kulturni obzornik,10. 10. 2022 – 15.10
Bele lupine v rdečem baru,Iva Slosar,Teater v eter,10. 10. 2022 – 13.30
Andrea Komlosy: Delo (globalnohistorična perspektiva od 13. do 21. stoletja),Aleš Rojc,Teorema,9. 10. 2022 – 20.00
"Prekletstvo razumljivosti, 3. del",Samo Oleami,Ulična kritika,9. 10. 2022 – 18.00
"Moje ulice, enaindvajsetič: Alenka Nika Pirjevec",Anonymous,Špajza RŠ,8. 10. 2022 – 12.00
Drugačenje drugih,Tibor Suša,Kulturni obzornik,7. 10. 2022 – 15.10
"»Preveč trmasta, preveč drugačna, preveč glasna in še posebej preveč zaposlena zunaj šole.«",Metod Zupan,Teater v eter,7. 10. 2022 – 13.30
Show 914: New Poem by That Travis (Resonance),Kulturno uredništvo,Radia Network,6. 10. 2022 – 22.30
Punce v ospredju,Tia Kozjek,Sektor Ž,6. 10. 2022 – 21.30
Moč pesniške besede,Vid Bešter,Kulturni Offsajd,6. 10. 2022 – 18.00
Zasuk v kulturi,Brina Jerko,Kulturni obzornik,6. 10. 2022 – 15.10
Bog je flaciden,Živa Kadunc,Kosilo nekega molja,6. 10. 2022 – 13.30
"Novi prostori, rojstvo festivala",Jaka Bombac,Kulturni obzornik,5. 10. 2022 – 15.22
Izstopanje iz vampirizma,Tibor Suša,Kosilo nekega molja,5. 10. 2022 – 13.30
Zaton družbe,Minka Jerala,Kulturni obzornik,4. 10. 2022 – 15.10
"Plesaje, plešoč plesati",Nika Gradišek,Teater v eter,4. 10. 2022 – 13.30
Nazaj k instituciji,Tina Tomšič,Art-area,3. 10. 2022 – 23.00
Umetnost bede v Cukrarni,Martin Pečan,Kulturni obzornik,3. 10. 2022 – 15.10
Duhovi v razpokah,Jaka Bombac,Kosilo nekega molja,3. 10. 2022 – 13.30
Kolonializem spektakla,Minka Jerala,Repetitio,2. 10. 2022 – 20.00
Sodobna južnoafriška proza I: Lauren Beukes,Anja Zidar,Tu pa tam,2. 10. 2022 – 18.00
Adamičeva Amerika in snemanje žice v ZRC SAZU-ju,Lenart Sušnik,Kulturni obzornik,30. 9. 2022 – 15.33
"Show 913: Shentov, Simitchiev, Lukanov – Live in Skopje (Kanal103)",Kulturno uredništvo,Radia Network,29. 9. 2022 – 22.30
"Poceni, a nikakor ceneni filmi!",Lenart Sušnik,Kulturni obzornik,29. 9. 2022 – 15.10
Tišina plesa,Metod Zupan,Teater v eter,29. 9. 2022 – 13.30
Everything zen,Michael C. Jumic,Leteči pilot,27. 9. 2022 – 21.00
Bedna življenja malih ljudi,Brina Jerko,Kosilo nekega molja,27. 9. 2022 – 13.30
"Dizla je zmanjkalo, ide gas!",Matija Pohorec,Objekt meseca,26. 9. 2022 – 23.00
Palestinci o Palestini,Brina Jerko,Kulturni obzornik,26. 9. 2022 – 15.10
"AI stripi, Tinta in Magna purga",Pia Nikolič,Stripofilija,25. 9. 2022 – 18.00
Znaki na vodi,Maja Pongrac,Kosilo nekega molja,23. 9. 2022 – 13.30
Show 912: And you’ve asked me to think about medicine by Sarah Scaife (Soundart Radio),Kulturno uredništvo,Radia Network,22. 9. 2022 – 22.30
"Moje ulice, dvajsetič: Anica Mikuš Kos",Anonymous,Špajza RŠ,22. 9. 2022 – 21.30
KRKA V MOČVIRSKI VOTLINI,Tibor Suša,Kulturni obzornik,22. 9. 2022 – 15.10
"V moji kamri v stari skrinji, oj, tam je noša narodna",Neža Vengust,Fine umetnosti,22. 9. 2022 – 13.30
Čarovnice letijo v svet,Valerija Intihar,Subjekt meseca,21. 9. 2022 – 18.00
Zachtronics,Mato Žgajner,Pritiskavec Gold,20. 9. 2022 – 21.00
"Kretenov sveta se ne bomo znebili, iz njih se lahko le norčujemo",Tina Tomšič,Subjekt meseca,20. 9. 2022 – 18.00
Ars Metelca in Terra inhabitabili,Neža Vengust,Kulturni obzornik,20. 9. 2022 – 15.10
"GLEDATI, SLIŠATI, MISLITI",Neža Urbiha,Fine umetnosti,20. 9. 2022 – 13.30
SORRY__SORRY,William Blomstedt,Tube(son),19. 9. 2022 – 23.00
"Bič se menja, gospodar ostane",Anja Zidar,Kosilo nekega molja,19. 9. 2022 – 13.30
Med distopijo in novim razsvetljenstvom,Jaka Bombac,Teorema,18. 9. 2022 – 20.00
Skozi razpoke: Tamara Kovačevič,Lara Pustinek Miočić,Tu pa tam,18. 9. 2022 – 18.00
Show 911: Radio TOUT-LE-TEMPS by BNA-BBOT for Radio Campus Bruxelles,Kulturno uredništvo,Radia Network,15. 9. 2022 – 22.30
Novomeški literarni večeri,Brina Jerko,Kulturni obzornik,15. 9. 2022 – 15.10
Praded pravljic,Minka Jerala,Kosilo nekega molja,15. 9. 2022 – 13.30
Kronika rokodelcev z Visokega,Minka Jerala,Kulturni obzornik,14. 9. 2022 – 15.10
Runaway,Michael C. Jumic,Leteči pilot,13. 9. 2022 – 21.00
Paralelna vesolja,Lenart Sušnik,Kosilo nekega molja,13. 9. 2022 – 13.30
Zvočni potop,Urška Savič,R A D A R,12. 9. 2022 – 23.00
Eksperimentalni uvod v kinotečno sezono,Jaka Bombac,Kulturni obzornik,12. 9. 2022 – 15.10
Skok v Mlade leve – prvič,Samo Oleami,Ulična kritika,11. 9. 2022 – 18.00
Kopica očitnosti s pozitivnim prizvokom,Jaka Bombac,Humanistika,9. 9. 2022 – 13.30
Show 910: Summer flip-flop by Jbi (Radio Grenouille & Euphonia),Kulturno uredništvo,Radia Network,8. 9. 2022 – 22.30
"Moje ulice, devetnajstič: Polde Bibič",Špela Frlic,Špajza RŠ,8. 9. 2022 – 21.30
Novice s fronte,Metod Zupan,Kulturni obzornik,8. 9. 2022 – 15.10
Vpogled v festival Ars Electronica,Valerija Intihar,Subjekt meseca,6. 9. 2022 – 18.00
Ontološki egalitarizem v sodobni umetnosti,Tina Tomšič,Art-area,5. 9. 2022 – 23.00
Dalj za tega,Matjaž Zorec,Literarni incest,5. 9. 2022 – 20.00
Nov skvot plac,Martin Pečan,Kulturni obzornik,5. 9. 2022 – 15.10
O dveh straneh istega kovanca,Matej Trontelj,Humanistika,5. 9. 2022 – 13.30
Zakaj Angloameričani nimajo koncepta zgodovine,Uroš Mikanović,Teorema,4. 9. 2022 – 20.00
Ana Marija Grbić: Srnin hrbet,Vid Bešter,Tu pa tam,4. 9. 2022 – 18.00
Kunigundinih 25 jajc,Matija Pohorec,Kulturni obzornik,2. 9. 2022 – 15.10
Revolucija brez otrok,Matjaž Zorec,Pisma iz tujine,2. 9. 2022 – 13.30
Show 909: Flux of Fragments by Line Horneland (Radio Zero),Kulturno uredništvo,Radia Network,1. 9. 2022 – 22.30
Tiranija v senci,Kulturno uredništvo,Kulturni obzornik,1. 9. 2022 – 15.10
"Kdor pije alkohol, se čuti glavobol",Iva Slosar,Kinobar,1. 9. 2022 – 13.30
Pripadnost pogledu,Jaka Bombac,Kulturni obzornik,31. 8. 2022 – 15.10
Be here now,Michael C. Jumic,Leteči pilot,30. 8. 2022 – 21.00
KAM SE OBRNITI?,Kulturno uredništvo,Ulična kritika,30. 8. 2022 – 13.30
Ljubezen ti da krila,Iva Slosar,Ulična kritika,30. 8. 2022 – 13.00
the young YOUTH,William Blomstedt,Tube(son),29. 8. 2022 – 23.00
Pozitivni in negativni zini,Brina Jerko,Kulturni obzornik,29. 8. 2022 – 15.10
Ljubič po bolonjsko,Kulturno uredništvo,Ulična kritika,29. 8. 2022 – 13.30
Laboratorij druge kože,Kulturno uredništvo,Ulična kritika,29. 8. 2022 – 13.00
Za stvarmi večna Modrost,Jaka Bombac,Teorema,28. 8. 2022 – 20.00
Na obisku pri dr. Horowitzu,Pia Nikolič,Stripofilija,28. 8. 2022 – 18.00
"Uau, edži ...",Metod Zupan,Ulična kritika,26. 8. 2022 – 13.30
Tri ladje vstopijo v bar …,Kulturno uredništvo,Ulična kritika,26. 8. 2022 – 13.00
Show 908: The House Of Kinshasa Part 1 by Po B. K. Lomami (CKUT),Kulturno uredništvo,Radia Network,25. 8. 2022 – 22.30
Kulturno o Oktoberfestu,Valerija Intihar,Kulturni obzornik,25. 8. 2022 – 15.10
Drobovje domov,Nika Gradišek,Ulična kritika,25. 8. 2022 – 13.30
Zgolj in samo do črte,Kulturno uredništvo,Ulična kritika,25. 8. 2022 – 13.00
Živeti v parodiji,Pia Nikolič,Striptiz,24. 8. 2022 – 13.30
Nearkadno tolčenje po soljudeh,Rasto Pahor,Pritiskavec Gold,23. 8. 2022 – 21.00
Razglednica iz Kassla,Tina Tomšič,Kulturni obzornik,23. 8. 2022 – 15.10
Saj veš,Samo Oleami,Ulična kritika,23. 8. 2022 – 13.30
Čas brez izstopa,Jaka Bombac,Ulična kritika,23. 8. 2022 – 13.00
FeKK off!,Lenart Sušnik,Temna zvezda,22. 8. 2022 – 23.00
Končal se je 28. Sarajevski filmski festival,Miha Turk,Kulturni obzornik,22. 8. 2022 – 15.10
Zdrsavanje izhodišča,Lucija Klauž,Pisma iz tujine,22. 8. 2022 – 13.30
Napetost v glasu: Ivan Antić,Vid Bešter,Tu pa tam,21. 8. 2022 – 18.00
"Moje ulice, osemnajstič: Peter Zobec",Katja Preša,Špajza RŠ,20. 8. 2022 – 12.00
Marija supa dalje,Iva Slosar,Kulturni obzornik,19. 8. 2022 – 15.10
"Show 907: Doubtful No. 14: Land by Charlie Hamish Jeffery (*Duuu, guest slot)",Kulturno uredništvo,Radia Network,18. 8. 2022 – 22.30
Dobri stari FeKK,Lenart Sušnik,Kinobar,18. 8. 2022 – 13.30
Portal v sistem avtonomne morale in jagnjet,Neža Vengust,Kulturni obzornik,17. 8. 2022 – 15.10
Počasi in podkožno,Samo Oleami,Teater v eter,16. 8. 2022 – 13.30
Kritiki na ulici – tretjič,Samo Oleami,Ulična kritika,14. 8. 2022 – 20.00
Kritiki na ulici – Drugič,Samo Oleami,Ulična kritika,14. 8. 2022 – 18.00
"Moje ulice, sedemnajstič: Andrej Novak",Katja Preša,Špajza RŠ,13. 8. 2022 – 12.00
Ostati in miniti,Lenart Sušnik,Kosilo nekega molja,12. 8. 2022 – 13.30
Show 906: Fish for Thought by Co-Tension from reboot.fm,Kulturno uredništvo,Radia Network,11. 8. 2022 – 22.30
Dobimo se na ReciklARTu,Metod Zupan,Kulturni obzornik,11. 8. 2022 – 15.10
Josipovi vrtovi,Živa Kadunc,Kosilo nekega molja,10. 8. 2022 – 13.30
Kako se gasi žeja,Neža Urbiha,Kulturni obzornik,9. 8. 2022 – 15.10
Sailor_Log,Urška Savič,R A D A R,8. 8. 2022 – 23.00
Premiera ali že peta ponovitev,Neža Vengust,Fine umetnosti,8. 8. 2022 – 13.30
UJETI V PAJKOVI MREŽI – TRETJIČ,Samo Oleami,Ulična kritika,7. 8. 2022 – 20.00
Onostranska etika: Muanis Sinanović,Vid Bešter,Tu pa tam,7. 8. 2022 – 18.00
"Moje ulice, šestnajstič: Stane Mancini",Katja Preša,Špajza RŠ,6. 8. 2022 – 12.00
Plati animacije na platnu,Minka Jerala,Kulturni obzornik,5. 8. 2022 – 15.10
Show 905: ERRANT WAVES IN ARCADIA by GABI SCHAFFNER for radio x,Kulturno uredništvo,Radia Network,4. 8. 2022 – 22.30
Smešne scene,Martin Pečan,Kulturni obzornik,3. 8. 2022 – 15.10
Bliža se Skok v ulično kritiko,Samo Oleami,Ulična kritika,3. 8. 2022 – 12.45
"Prstani in tašče in zibke, ojoj!",Metod Zupan,Dlako z jezika,2. 8. 2022 – 13.30
"Doña Gracia: nevarnost, bogastvo in diaspora",Matija Pohorec,Repetitio,1. 8. 2022 – 23.00
Predigra. Glas,Matjaž Zorec,Literarni incest,1. 8. 2022 – 20.00
Mesto živečih skulptur,Jaka Bombac,Kulturni obzornik,1. 8. 2022 – 15.10
Kritiki na ulici – prvič,Samo Oleami,Ulična kritika,31. 7. 2022 – 20.00
Poletni megamix z novo rubriko,Pia Nikolič,Stripofilija,31. 7. 2022 – 18.00
"Moje ulice, petnajstič: Ana Nuša Kerševan",Katja Preša,Špajza RŠ,31. 7. 2022 – 13.00
"Moje ulice, štirinajstič: dr. Nena Židov",Katja Preša,Špajza RŠ,30. 7. 2022 – 12.00
Ekstaza božjastnega krika,Tina Tomšič,Kinobar,29. 7. 2022 – 13.30
"Show 904: tracing the source of the signal only opens the noise of the field (talking to the lyrebird about copyright), by radio cegeste",Kulturno uredništvo,Radia Network,28. 7. 2022 – 22.30
Presek družbe ob Ljubljanici,Minka Jerala,Kulturni obzornik,28. 7. 2022 – 15.10
ODDIH V VRTU ITALIJANSKE UMETNOSTI,Neža Urbiha,Fine umetnosti,27. 7. 2022 – 13.30
Uletu sm u Disko Elizijum,Mato Žgajner,Pritiskavec Gold,26. 7. 2022 – 21.00
Galerijske otročarije,Neža Vengust,Kulturni obzornik,26. 7. 2022 – 15.15
Renta in konkurenca,Uroš Mikanović,Hertz arhitektur,25. 7. 2022 – 20.00
Pri komediji nič novega,Iva Slosar,Teater v eter,25. 7. 2022 – 13.30
Ujeti v pajkovi mreži – drugič,Samo Oleami,Ulična kritika,24. 7. 2022 – 20.00
Frača,Vid Bešter,Tu pa tam,24. 7. 2022 – 17.30
Bistra cikličnost,Iva Slosar,Kulturni obzornik,22. 7. 2022 – 15.10
Show 903 :I HAVE NO VOICE by Juliedesk (TTNode),Kulturno uredništvo,Radia Network,21. 7. 2022 – 22.30
Izberi svojo ekopustolovščino,Valerija Intihar,Fine umetnosti,21. 7. 2022 – 13.30
Ljubljana is burning,Metod Zupan,Kulturni obzornik,20. 7. 2022 – 15.10
Kljubovanje disasociativnosti,Metod Zupan,Teater v eter,19. 7. 2022 – 13.30
You chicken___>?,William Blomstedt,Tube(son),18. 7. 2022 – 23.00
Vse ptice Postaje Topolove,Valerija Intihar,Kulturni obzornik,18. 7. 2022 – 15.10
"Prekletstvo razumljivosti, 2. del",Samo Oleami,Ulična kritika,17. 7. 2022 – 18.00
"Moje ulice, trinajstič: Milena Kožuh",Katja Preša,Špajza RŠ,16. 7. 2022 – 18.00
Ognjevite razprave,Minka Jerala,Humanistika,15. 7. 2022 – 13.30
Show 902: Crown Quartet – A Natural Contract live at NaturArchy Resonance IV (Usmaradio),Kulturno uredništvo,Radia Network,14. 7. 2022 – 22.30
"Moje ulice, dvanajstič: Božo Štajer",Katja Preša,Špajza RŠ,14. 7. 2022 – 21.30
Tiho Sotočje,Tibor Suša,Kulturni obzornik,14. 7. 2022 – 15.10
Skok v ulično kritiko,Samo Oleami,Ulična kritika,14. 7. 2022 – 13.50
ALI JE OBLEČEN MANDIĆ(CIRKUS) ŠE MANDIĆ(CIRKUS)?,Metod Zupan,Teater v eter,13. 7. 2022 – 13.30
Gnili paradižniki na Prangerju?,Lara Pustinek Miočić,Kulturni obzornik,12. 7. 2022 – 15.10
NOITU,Urška Savič,R A D A R,11. 7. 2022 – 23.00
Kolektiv Kolektiv Kolektiv,Varja Hrvatin,Teritorij teatra,11. 7. 2022 – 20.00
Najzahodnejša sporadičnost,Maja Pongrac,Pisma iz tujine,11. 7. 2022 – 13.30
Frača,Vid Bešter,Tu pa tam,10. 7. 2022 – 17.50
Mariborski avtonomni kulturni center Pekarna,Urška Janžič,Kulturni obzornik,8. 7. 2022 – 15.10
Show 901: Grotte Song By Claire Serres,Kulturno uredništvo,Radia Network,7. 7. 2022 – 22.30
Med otroki in mafijo nekje na jugu Italije,Neža Vengust,Fine umetnosti,7. 7. 2022 – 13.30
Antropološka raziskava: turisti,Lara Pustinek Miočić,Kulturni obzornik,6. 7. 2022 – 15.10
Psiho predsedniki,Anonymous,Napihovanje,5. 7. 2022 – 13.30
Pred predigro,Matjaž Zorec,Literarni incest,4. 7. 2022 – 20.00
Frača ‒ nova črna stvarnost ruske drame,Vid Bešter,Tu pa tam,3. 7. 2022 – 18.00
"Moje ulice, enajstič: Tadej Brate",Špela Frlic,Špajza RŠ,2. 7. 2022 – 12.00
Kaj bo po šoping centrih?,Neža Vengust,Kulturni obzornik,1. 7. 2022 – 15.10
Show 899: an SOS from Masafer Yatta (radioart106),Kulturno uredništvo,Radia Network,30. 6. 2022 – 22.30
"Moje ulice, desetič: Tanja Tomažič",Špela Frlic,Špajza RŠ,30. 6. 2022 – 21.30
Z glavo skozi zid,Martin Pečan,Kulturni obzornik,30. 6. 2022 – 15.10
Ljubljana: poseben krog pekla,Tina Tomšič,Dlako z jezika,30. 6. 2022 – 13.30
"A MAZE, igre na drogah",Kulturno uredništvo,Pritiskavec,29. 6. 2022 – 13.30
"Slovo od slovesa, ki ne vidi gozda od drevesa",Simon Smole,Post,29. 6. 2022 – 7.15
Tudi nadzorniki so ljudje,Mato Žgajner,Pritiskavec Gold,28. 6. 2022 – 21.00
Kulturna centralizacija mladih – večni problem ali naravni proces,Lenart Sušnik,Kulturna diagnoza,28. 6. 2022 – 18.00
Nostalgična tihožitja,Tina Tomšič,Kulturni obzornik,28. 6. 2022 – 15.10
Ko medij umre,Brina Jerko,Teater v eter,28. 6. 2022 – 13.30
Mavrični valovi za isto mizo,Metod Zupan,Odprti termin za kulturo,27. 6. 2022 – 23.00
Javno dobro,Urška Škerl,Tipologije prostora,27. 6. 2022 – 20.00
Onkraj galerijskih sten,Valerija Intihar,Kulturni obzornik,27. 6. 2022 – 15.10
Distopičnost preočitne umetnosti,Neža Urbiha,Fine umetnosti,27. 6. 2022 – 13.30
Ljubljana Pride: Protest ali praznik?,Metod Zupan,Destilator,26. 6. 2022 – 20.00
Udomačena anonimnost: Lukas Debeljak,Vid Bešter,Tu pa tam,26. 6. 2022 – 18.00
O zgodovini Ljubljane,Pavel Lipovšek,Urbi et orbi,25. 6. 2022 – 15.00
Figura Radia Študent,Martin Pečan,Kulturni obzornik,24. 6. 2022 – 15.10
Upor na plaži,Valerija Intihar,Kinobar,24. 6. 2022 – 13.30
Show 898: Machines Making Machines Machines Making Machines by Philip Curach for Diffusion 107,Kulturno uredništvo,Radia Network,23. 6. 2022 – 22.30
Med sencami razmišljujoči,Tina Tomšič,Fine umetnosti,23. 6. 2022 – 18.00
»V pisarno ne greš na obisk«,Vid Bešter,Kulturni obzornik,23. 6. 2022 – 15.09
Potop v morje,Kulturno uredništvo,Teater v eter,23. 6. 2022 – 13.30
Hitrostno špikanje,Lenart Sušnik,Kulturna diagnoza,22. 6. 2022 – 18.00
Enajst let kulture na železniški postaji,Neža Urbiha,Kulturni obzornik,22. 6. 2022 – 15.10
Zvok se spremeni v predmet,Oskar Ban Brejc,Kinobar,22. 6. 2022 – 13.30
Big in America,Michael C. Jumic,Leteči pilot,21. 6. 2022 – 21.00
Marketinške perspektive: kako prodajati kreativnost?,Juš Šoltes,Kulturna diagnoza,21. 6. 2022 – 18.00
Računalniki v Šiški,Tibor Suša,Kulturni obzornik,21. 6. 2022 – 15.10
Merjenje angstrema,Lara Pustinek Miočić,Kosilo nekega molja,21. 6. 2022 – 13.30
Palestine,William Blomstedt,Tube(son),20. 6. 2022 – 23.00
Liminalnost,Lenart Sušnik,Temna zvezda,20. 6. 2022 – 20.00
Recikliranje v umetnosti,Valerija Intihar,Kreativna inšpekcija,20. 6. 2022 – 15.10
Psihološka infrastruktura po meri kapitala,Marja Zakelšek,Serijski motrilci,20. 6. 2022 – 13.30
Brušenje rogov,Valerija Intihar,Destilator,19. 6. 2022 – 20.00
Ujeti v pajkovi mreži – prvič,Samo Oleami,Ulična kritika,19. 6. 2022 – 18.00
Dostojevskega Veliki inkvizitor,Matjaž Zorec,Odprti termin za kulturo,19. 6. 2022 – 15.00
"Moje ulice, devetič: Jožko Battestin",Špela Frlic,Špajza RŠ,18. 6. 2022 – 12.00
Kdo je Márta Mészáros?,Oskar Ban Brejc,Kulturni obzornik,17. 6. 2022 – 15.10
"Postoj trenutek, kako si vendar lep!",Anja Zidar,Kosilo nekega molja,17. 6. 2022 – 13.30
"Show 897: Sleeplessly, a research of insomnia (Radio Študent)",Kulturno uredništvo,Radia Network,16. 6. 2022 – 22.30
"Kdo, če ne mi?",Metod Zupan,Kulturna diagnoza,16. 6. 2022 – 18.00
Živeti po pikniku,Tibor Suša,Kosilo nekega molja,16. 6. 2022 – 13.30
Kvir okupacija,Brina Jerko,Kulturni obzornik,15. 6. 2022 – 15.10
Nepremostljiva kriza identitete,Tina Tomšič,Dlako z jezika,15. 6. 2022 – 13.30
"Neil Young, filmski kritik in redni gost festivala Kino otok",Nika Jurman,Subjekt meseca,14. 6. 2022 – 18.00
Dopisniki na kriznih žariščih,Saša Hajzler,Kulturni obzornik,14. 6. 2022 – 15.10
Nevidene publike,Varja Hrvatin,Teritorij teatra,13. 6. 2022 – 20.00
"Oder360, leto kasneje",Valerija Intihar,Kreativna inšpekcija,13. 6. 2022 – 15.14
Moja babica z Marsa,Saša Hajzler,Kinobar,13. 6. 2022 – 13.30
Strah pred neubesedljivim,Tina Tomšič,Teorema,12. 6. 2022 – 20.00
Ko koroške pošasti pride-jo iz omare,Metod Zupan,Kulturni obzornik,10. 6. 2022 – 15.10
Opotekanja po begajoči časovnici,Lucija Klauž,Kosilo nekega molja,10. 6. 2022 – 13.30
Show 896: 25 Hz by Andy Kelleher Stuhl for Wave Farm,Kulturno uredništvo,Radia Network,9. 6. 2022 – 22.30
"Moje ulice, osmič: Vera Havliček",Špela Frlic,Špajza RŠ,9. 6. 2022 – 21.30
Razstava za vsako ceno,Neža Urbiha,Kulturni obzornik,9. 6. 2022 – 15.10
"Boginje, perice, device: kje pa je Simone?",Matija Pohorec,Dlako z jezika,9. 6. 2022 – 13.30
Osvobajanje Palestine s pesmijo,Urška Janžič,Kulturni obzornik,8. 6. 2022 – 15.10
Puste Amber pr gmah!,Lenart Sušnik,Dlako z jezika,8. 6. 2022 – 13.30
Crazy,Michael C. Jumic,Leteči pilot,7. 6. 2022 – 21.00
Iz kamer brazilskih staroselcev,Minka Jerala,Kulturni obzornik,7. 6. 2022 – 15.10
Vampirska preobrazba pomladi,Neža Vengust,Fine umetnosti,7. 6. 2022 – 13.30
Kipeča konkretnost,Andrea Zabric,Art-area,6. 6. 2022 – 23.00
Jebo nas bog. Job.,Matjaž Zorec,Literarni incest,6. 6. 2022 – 20.00
Pri knapih in glažarjih,Samo Oleami,Kreativna inšpekcija,6. 6. 2022 – 15.10
Jebi se Jonathan Galeb,Matija Pušnik,Pisma iz tujine,6. 6. 2022 – 13.30
"Greta Garbo and Monroe, Dietrich and Demaggio",Metod Zupan,Objekt meseca,5. 6. 2022 – 20.00
"Sandman, novi vitez in roza stripi",Pia Nikolič,Stripofilija,4. 6. 2022 – 18.00
"Moje ulice, sedmič: dr. Svetozar Polič",Špela Frlic,Špajza RŠ,4. 6. 2022 – 12.00
Gospodinjstvo na Špici,Tibor Suša,Kulturni obzornik,3. 6. 2022 – 15.10
"Vsak je sam, ko ostane sam",Iva Slosar,Teater v eter,3. 6. 2022 – 13.30
Show 895: GASP by Christian Rønn & Helena Berglund (Radio WORM),Kulturno uredništvo,Radia Network,2. 6. 2022 – 22.30
"Ženska, kje je tvoje mesto?",Višnja Jerman,Sektor Ž,2. 6. 2022 – 21.30
"Soteska, odprta za vse",Iva Slosar,Kulturni obzornik,2. 6. 2022 – 15.10
Sestrska ljubezen,Brina Jerko,Kosilo nekega molja,2. 6. 2022 – 13.30
Ne čakaj na majsko kraljico,Metod Zupan,Kulturni obzornik,1. 6. 2022 – 15.10
Banda moderna,Samo Oleami,Teater v eter,1. 6. 2022 – 13.30
"1. 6. 2022, reženj življenja",Simon Smole,Post,1. 6. 2022 – 7.15
"Pikslasti pokol, občasno z motorko",Rasto Pahor,Pritiskavec Gold,31. 5. 2022 – 21.00
Penzija kliče stare teliče,Martin Pečan,Kulturni obzornik,31. 5. 2022 – 15.10
Vse. Povsod. Naenkrat.,Matjaž Zorec,Kinobar,31. 5. 2022 – 13.30
Naredite mi to deželo zopet Jugoslovansko,Jaka Virant,Repetitio,30. 5. 2022 – 20.00
Odzivi na odmeve Vinka Rozmana,Lenart Sušnik,Subjekt meseca,30. 5. 2022 – 18.00
Na meji fantastike,Pia Nikolič,Kulturni obzornik,30. 5. 2022 – 15.10
Tehnologija v filmu in tehnologija filma,Oskar Ban Brejc,Kinobar,30. 5. 2022 – 13.30
Sodobna novozelandska proza IV: Nic Low,Anja Zidar,Tu pa tam,29. 5. 2022 – 18.00
Odprto o odprti akademiji,Neža Urbiha,Okrogla miza RKHV,29. 5. 2022 – 12.00
